Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1990,,3,3,29,624,1703,2300,26878,2319,183,1,
1991,1,,,1151,3595,95,65,833,174,255,1,35
1992,10,14,127,1372,466,706,263,497,7,81,1,1
1993,1,16,180,357,6482,18552,126,286,7,41,16,
1994,,,31,752,819,8540,17048,1105,1218,20,23,12
1995,1,,55,520,330977,1970,86,2102,391,45,1,
1996,,,1,91,524,534,775,22,12,2,,
1997,,,25,117,356,50,213,60,7,,,3897
1998,,,,1362,349601,27747,723,347173,49,311,1,1
1999,4,,4,1300,36135,26178,52407,1708,1550,517,505,197
2000,4,5,1083,2918,732,6422,1376,2176,2,18,,
2001,20,,51,1115,142104,673,366,128,9591,73,2,1
2002,116,,,296,240234,254577,1095,107,6,2,82,
2003,2,5,76,157,1716,576,68602,1683,319,1733,1,4
2004,,1,8,2353,1245,779,231021,341,322,19,,1
2005,5,34,8,660,11483,46606,1828,28,9,43,54,5
2006,5,,2,3575,3193,89316,20460,1980,57,173,,1
2007,11,3,43,393,926,22923,79317,7,3,11,32,
2008,14,41,,105,1943,4541,12391,1489,133,125,5,
2009,,,99,236,2093,61691,217,60,1557,3,991,
2010,,,,656,1137,38202,40672,182,3,322,28,22
2011,1,,165,110,731062,73754,114,313,428,100,8,
2012,,4,2,125,7619,199685,163603,13330,1270,20,,
2013,2,,1,40,2380,11338,5740,58,4,13,,
2014,1,,14,393,355,1109,20926,446,393,67,1,
2015,,6,22,627,48023,396335,21115,65,50,79,7,1
