"Year","Month","Area"
1990,"Jan",0
1990,"Feb",3
1990,"Mar",3
1990,"Apr",29
1990,"May",624
1990,"Jun",1703
1990,"Jul",2300
1990,"Aug",26878
1990,"Sept",2319
1990,"Oct",183
1990,"Nov",1
1990,"Dec",0
1991,"Jan",1
1991,"Feb",0
1991,"Mar",0
1991,"Apr",1151
1991,"May",3595
1991,"Jun",95
1991,"Jul",65
1991,"Aug",833
1991,"Sept",174
1991,"Oct",255
1991,"Nov",1
1991,"Dec",35
1992,"Jan",10
1992,"Feb",14
1992,"Mar",127
1992,"Apr",1372
1992,"May",466
1992,"Jun",706
1992,"Jul",263
1992,"Aug",497
1992,"Sept",7
1992,"Oct",81
1992,"Nov",1
1992,"Dec",1
1993,"Jan",1
1993,"Feb",16
1993,"Mar",180
1993,"Apr",357
1993,"May",6482
1993,"Jun",18552
1993,"Jul",126
1993,"Aug",286
1993,"Sept",7
1993,"Oct",41
1993,"Nov",16
1993,"Dec",0
1994,"Jan",0
1994,"Feb",0
1994,"Mar",31
1994,"Apr",752
1994,"May",819
1994,"Jun",8540
1994,"Jul",17048
1994,"Aug",1105
1994,"Sept",1218
1994,"Oct",20
1994,"Nov",23
1994,"Dec",12
1995,"Jan",1
1995,"Feb",0
1995,"Mar",55
1995,"Apr",520
1995,"May",330977
1995,"Jun",1970
1995,"Jul",86
1995,"Aug",2102
1995,"Sept",391
1995,"Oct",45
1995,"Nov",1
1995,"Dec",0
1996,"Jan",0
1996,"Feb",0
1996,"Mar",1
1996,"Apr",91
1996,"May",524
1996,"Jun",534
1996,"Jul",775
1996,"Aug",22
1996,"Sept",12
1996,"Oct",2
1996,"Nov",0
1996,"Dec",0
1997,"Jan",0
1997,"Feb",0
1997,"Mar",25
1997,"Apr",117
1997,"May",356
1997,"Jun",50
1997,"Jul",213
1997,"Aug",60
1997,"Sept",7
1997,"Oct",0
1997,"Nov",0
1997,"Dec",3897
1998,"Jan",0
1998,"Feb",0
1998,"Mar",0
1998,"Apr",1362
1998,"May",349601
1998,"Jun",27747
1998,"Jul",723
1998,"Aug",347173
1998,"Sept",49
1998,"Oct",311
1998,"Nov",1
1998,"Dec",1
1999,"Jan",4
1999,"Feb",0
1999,"Mar",4
1999,"Apr",1300
1999,"May",36135
1999,"Jun",26178
1999,"Jul",52407
1999,"Aug",1708
1999,"Sept",1550
1999,"Oct",517
1999,"Nov",505
1999,"Dec",197
2000,"Jan",4
2000,"Feb",5
2000,"Mar",1083
2000,"Apr",2918
2000,"May",732
2000,"Jun",6422
2000,"Jul",1376
2000,"Aug",2176
2000,"Sept",2
2000,"Oct",18
2000,"Nov",0
2000,"Dec",0
2001,"Jan",20
2001,"Feb",0
2001,"Mar",51
2001,"Apr",1115
2001,"May",142104
2001,"Jun",673
2001,"Jul",366
2001,"Aug",128
2001,"Sept",9591
2001,"Oct",73
2001,"Nov",2
2001,"Dec",1
2002,"Jan",116
2002,"Feb",0
2002,"Mar",0
2002,"Apr",296
2002,"May",240234
2002,"Jun",254577
2002,"Jul",1095
2002,"Aug",107
2002,"Sept",6
2002,"Oct",2
2002,"Nov",82
2002,"Dec",0
2003,"Jan",2
2003,"Feb",5
2003,"Mar",76
2003,"Apr",157
2003,"May",1716
2003,"Jun",576
2003,"Jul",68602
2003,"Aug",1683
2003,"Sept",319
2003,"Oct",1733
2003,"Nov",1
2003,"Dec",4
2004,"Jan",0
2004,"Feb",1
2004,"Mar",8
2004,"Apr",2353
2004,"May",1245
2004,"Jun",779
2004,"Jul",231021
2004,"Aug",341
2004,"Sept",322
2004,"Oct",19
2004,"Nov",0
2004,"Dec",1
2005,"Jan",5
2005,"Feb",34
2005,"Mar",8
2005,"Apr",660
2005,"May",11483
2005,"Jun",46606
2005,"Jul",1828
2005,"Aug",28
2005,"Sept",9
2005,"Oct",43
2005,"Nov",54
2005,"Dec",5
2006,"Jan",5
2006,"Feb",0
2006,"Mar",2
2006,"Apr",3575
2006,"May",3193
2006,"Jun",89316
2006,"Jul",20460
2006,"Aug",1980
2006,"Sept",57
2006,"Oct",173
2006,"Nov",0
2006,"Dec",1
2007,"Jan",11
2007,"Feb",3
2007,"Mar",43
2007,"Apr",393
2007,"May",926
2007,"Jun",22923
2007,"Jul",79317
2007,"Aug",7
2007,"Sept",3
2007,"Oct",11
2007,"Nov",32
2007,"Dec",0
2008,"Jan",14
2008,"Feb",41
2008,"Mar",0
2008,"Apr",105
2008,"May",1943
2008,"Jun",4541
2008,"Jul",12391
2008,"Aug",1489
2008,"Sept",133
2008,"Oct",125
2008,"Nov",5
2008,"Dec",0
2009,"Jan",0
2009,"Feb",0
2009,"Mar",99
2009,"Apr",236
2009,"May",2093
2009,"Jun",61691
2009,"Jul",217
2009,"Aug",60
2009,"Sept",1557
2009,"Oct",3
2009,"Nov",991
2009,"Dec",0
2010,"Jan",0
2010,"Feb",0
2010,"Mar",0
2010,"Apr",656
2010,"May",1137
2010,"Jun",38202
2010,"Jul",40672
2010,"Aug",182
2010,"Sept",3
2010,"Oct",322
2010,"Nov",28
2010,"Dec",22
2011,"Jan",1
2011,"Feb",0
2011,"Mar",165
2011,"Apr",110
2011,"May",731062
2011,"Jun",73754
2011,"Jul",114
2011,"Aug",313
2011,"Sept",428
2011,"Oct",100
2011,"Nov",8
2011,"Dec",0
2012,"Jan",0
2012,"Feb",4
2012,"Mar",2
2012,"Apr",125
2012,"May",7619
2012,"Jun",199685
2012,"Jul",163603
2012,"Aug",13330
2012,"Sept",1270
2012,"Oct",20
2012,"Nov",0
2012,"Dec",0
2013,"Jan",2
2013,"Feb",0
2013,"Mar",1
2013,"Apr",40
2013,"May",2380
2013,"Jun",11338
2013,"Jul",5740
2013,"Aug",58
2013,"Sept",4
2013,"Oct",13
2013,"Nov",0
2013,"Dec",0
2014,"Jan",1
2014,"Feb",0
2014,"Mar",14
2014,"Apr",393
2014,"May",355
2014,"Jun",1109
2014,"Jul",20926
2014,"Aug",446
2014,"Sept",393
2014,"Oct",67
2014,"Nov",1
2014,"Dec",0
2015,"Jan",0
2015,"Feb",6
2015,"Mar",22
2015,"Apr",627
2015,"May",48023
2015,"Jun",396335
2015,"Jul",21115
2015,"Aug",65
2015,"Sept",50
2015,"Oct",79
2015,"Nov",7
2015,"Dec",1
